lexemeId;lemma;q_concept;q_conceptDescription;picture
http://www.wikidata.org/entity/L591675;Cocktail;http://www.wikidata.org/entity/Q134768;alkoholisches Mischgetränk im mittleren Glas;http://commons.wikimedia.org/wiki/Special:FilePath/Cocktail1.jpg
http://www.wikidata.org/entity/L484249;Heer;http://www.wikidata.org/entity/Q37726;alle Landstreitkräfte umfassende Teilstreitkraft eines Staates;http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D0%B5%20%D0%B4%D0%B5%D1%81%D0%B0%D0%BD%D1%82%D0%BD%D0%B8%D0%BA%D0%B8.jpg
http://www.wikidata.org/entity/L296215;Inflation;http://www.wikidata.org/entity/Q35865;allgemeine Erhöhung der Güterpreise;http://commons.wikimedia.org/wiki/Special:FilePath/CPI%20GDP%20M2%20and%20Velocity.png
http://www.wikidata.org/entity/L296215;Inflation;http://www.wikidata.org/entity/Q35865;allgemeine Erhöhung der Güterpreise;http://commons.wikimedia.org/wiki/Special:FilePath/Cpis.PNG
http://www.wikidata.org/entity/L296945;Ausrüstung;http://www.wikidata.org/entity/Q10273457;allgemeiner Sammelbegriff für alle Gegenstände, die benötigt werden um eine bestimmte Tätigkeit auszuüben;http://commons.wikimedia.org/wiki/Special:FilePath/Electronics%20workbench.jpg
http://www.wikidata.org/entity/L222571;Einkaufszentrum;http://www.wikidata.org/entity/Q11315;als Einheit geplante und errichtete Konzentration von Einzelhandels- und Dienstleistungsbetrieben;http://commons.wikimedia.org/wiki/Special:FilePath/Bristol%20MMB%20N5%20Cabot%20Circus.jpg
http://www.wikidata.org/entity/L222571;Einkaufszentrum;http://www.wikidata.org/entity/Q11315;als Einheit geplante und errichtete Konzentration von Einzelhandels- und Dienstleistungsbetrieben;http://commons.wikimedia.org/wiki/Special:FilePath/Puotinharjun%20ostoskeskus%201970-luvulla.jpg
http://www.wikidata.org/entity/L34064;Gurke;http://www.wikidata.org/entity/Q2735883;als Gemüse genutzte Frucht;http://commons.wikimedia.org/wiki/Special:FilePath/Kurkkuja.jpg
http://www.wikidata.org/entity/L34727;Hund;http://www.wikidata.org/entity/Q144;als Heim- und Nutztier gehaltenes Haustier;http://commons.wikimedia.org/wiki/Special:FilePath/Welsh%20Springer%20Spaniel.jpg
http://www.wikidata.org/entity/L6175;Pfennig;http://www.wikidata.org/entity/Q165717;alte deutsche Währungseinheit;http://commons.wikimedia.org/wiki/Special:FilePath/1-PF-Coin-German.jpg
http://www.wikidata.org/entity/L300421;Tau;http://www.wikidata.org/entity/Q2333151;Alternative Kreiszahl;http://commons.wikimedia.org/wiki/Special:FilePath/Tau-angles.svg
http://www.wikidata.org/entity/L589355;Akupunktur;http://www.wikidata.org/entity/Q121713;alternativmedizinisches Behandlungsverfahren;http://commons.wikimedia.org/wiki/Special:FilePath/Acupuncture1-1.jpg
http://www.wikidata.org/entity/L34985;Blockflöte;http://www.wikidata.org/entity/Q187851;am Ende angeblasenes Holzblasinstrument;http://commons.wikimedia.org/wiki/Special:FilePath/VariousRecorderFlutes.jpg
http://www.wikidata.org/entity/L7657;Ohrring;http://www.wikidata.org/entity/Q168456;am Ohr getragenes Schmuckstück;http://commons.wikimedia.org/wiki/Special:FilePath/Earring%20%28jewelry%29.jpg
http://www.wikidata.org/entity/L7657;Ohrring;http://www.wikidata.org/entity/Q168456;am Ohr getragenes Schmuckstück;http://commons.wikimedia.org/wiki/Special:FilePath/Navel%20Curve%20As%20Earring.jpg
http://www.wikidata.org/entity/L7657;Ohrring;http://www.wikidata.org/entity/Q168456;am Ohr getragenes Schmuckstück;http://commons.wikimedia.org/wiki/Special:FilePath/Tashkent%20Panchpoya%20earrings.jpg
http://www.wikidata.org/entity/L295174;König;http://www.wikidata.org/entity/Q12097;Amtsbezeichnung für den höchsten gekrönten Würdenträger in der Rangfolge eines Staates;http://commons.wikimedia.org/wiki/Special:FilePath/Arthur-Pyle%20King%20Arthur%20of%20Britain.JPG
http://www.wikidata.org/entity/L295174;König;http://www.wikidata.org/entity/Q12097;Amtsbezeichnung für den höchsten gekrönten Würdenträger in der Rangfolge eines Staates;http://commons.wikimedia.org/wiki/Special:FilePath/Tan%C3%A9ka-B%C3%A9ri-Le%20roi%20Tinigassawa%20%282%29.jpg
http://www.wikidata.org/entity/L361969;Priester;http://www.wikidata.org/entity/Q42603;Amtsperson, die in ihrer Eigenschaft als Vorsteher kultischer Handlungen eine Mittlerrolle zwischen jeweiliger Gottheit und den Menschen einnimmt;http://commons.wikimedia.org/wiki/Special:FilePath/Padre%20carlos%20yepes.jpg
http://www.wikidata.org/entity/L361969;Priester;http://www.wikidata.org/entity/Q42603;Amtsperson, die in ihrer Eigenschaft als Vorsteher kultischer Handlungen eine Mittlerrolle zwischen jeweiliger Gottheit und den Menschen einnimmt;http://commons.wikimedia.org/wiki/Special:FilePath/Battesimi0113.jpg
http://www.wikidata.org/entity/L361969;Priester;http://www.wikidata.org/entity/Q42603;Amtsperson, die in ihrer Eigenschaft als Vorsteher kultischer Handlungen eine Mittlerrolle zwischen jeweiliger Gottheit und den Menschen einnimmt;http://commons.wikimedia.org/wiki/Special:FilePath/Cow%20on%20Delhi%20street%20colorcorr.jpg
http://www.wikidata.org/entity/L361969;Priester;http://www.wikidata.org/entity/Q42603;Amtsperson, die in ihrer Eigenschaft als Vorsteher kultischer Handlungen eine Mittlerrolle zwischen jeweiliger Gottheit und den Menschen einnimmt;http://commons.wikimedia.org/wiki/Special:FilePath/Ethiopian%20Religious.jpg
http://www.wikidata.org/entity/L361969;Priester;http://www.wikidata.org/entity/Q42603;Amtsperson, die in ihrer Eigenschaft als Vorsteher kultischer Handlungen eine Mittlerrolle zwischen jeweiliger Gottheit und den Menschen einnimmt;http://commons.wikimedia.org/wiki/Special:FilePath/Georgischer%20Priester.jpg
http://www.wikidata.org/entity/L361969;Priester;http://www.wikidata.org/entity/Q42603;Amtsperson, die in ihrer Eigenschaft als Vorsteher kultischer Handlungen eine Mittlerrolle zwischen jeweiliger Gottheit und den Menschen einnimmt;http://commons.wikimedia.org/wiki/Special:FilePath/Yasaka-jinja%2001.jpg
http://www.wikidata.org/entity/L229430;Umstandskleidung;http://www.wikidata.org/entity/Q942332;An die Schwangerschaft angepasste Kleidung;http://commons.wikimedia.org/wiki/Special:FilePath/Maternity%20clothes.tif
http://www.wikidata.org/entity/L48483;Etikett;http://www.wikidata.org/entity/Q722218;an einem Gegenstand befestigtes Schild, das über diesen informiert;http://commons.wikimedia.org/wiki/Special:FilePath/Borg%20beers.jpg
http://www.wikidata.org/entity/L411179;Ufer;http://www.wikidata.org/entity/Q468756;an einem Gewässer unmittelbar anschließende Landfläche;http://commons.wikimedia.org/wiki/Special:FilePath/Thames%20estuary%20coast%20line%20-%20geograph.org.uk%20-%202527882.jpg
http://www.wikidata.org/entity/L33743;Schallplatte;http://www.wikidata.org/entity/Q178588;analoger Tonträger aus Vinyl;http://commons.wikimedia.org/wiki/Special:FilePath/MARRS%20-%20Pump%20up%20the%20volume%20%281988%29%20Side%20A.jpg
